"Uitstromers ho; arbeidsmarktpositie na verlaten onderwijs"
"Geslacht: Totaal"
"Persoonskenmerken: Totaal"
"Studierichting: Totaal"
"Perioden: 2015/'16"
"Onderwerp: |Uitstromers ho"
""
"Arbeidsmarktpositie";"Met werk, zonder uitkering";"Met werk, met uitkering";"Zonder werk, met uitkering";"Zonder werk, zonder uitkering";"Terug in onderwijs"
"Peilmoment";"Direct na verlaten onderwijs";"Direct na verlaten onderwijs";"Direct na verlaten onderwijs";"Direct na verlaten onderwijs";"Direct na verlaten onderwijs"
"Uitstromers ho met en zonder diploma";"aantal";"aantal";"aantal";"aantal";"aantal"
"Hbo-bachelor";"40330";"790";"640";"5240";""
"Hbo-master";"450";"20";"10";"160";""
"Wo-bachelor";"6410";"110";"210";"3150";""
"Wo-master";"20970";"370";"430";"5130";""
"Bron: CBS"
